objectid,parentid,filename,identifier,title,description,archival_call_number,archival_collection,finding_aid_ark,source,contributing_institution_valueURI,language,subject,topical_subject_fast_valueURI,geographic_subject_fast,geographic_subject_fast_valueURI,geographic_subject_local,location,latitude,longitude,personal_name_subject,personal_name_subject_valueURI,corporate_name_subject,corporate_name_subject_valueURI,extent,rights,rightsstatement,date,ark,date_created,date_modified,digital_collection,digital_collection_ark,digital_origin,pid,local_id,type,dcmi_type_valueURI,type_of_resource,imt_type,format,display_template,object_location,image_small,image_thumb,image_alt_text,object_transcript
iowastateparks0001,,,,Tent at Ledges Park,Black and white photograph showing a tent at Ledges Park.,RS 4/8,Iowa State University. Facilities Planning and Management records,https://n2t.net/ark:/87292/w9cx82,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,eng,Camping--Equipment and supplies;Tents,http://id.worldcat.org/fast/844930;http://id.worldcat.org/fast/1147746,Iowa--Boone County,http://id.worldcat.org/fast/1212206,Iowa--Ledges State Park,Ledges State Park,41.99183862,-93.87440815,,,,,1 item,"This item is protected by copyright and related rights. However, the rights-holder is unidentified or unlocatable. If you have information that can contribute to identifying or locating the rights-holder, please notify the Iowa State University Library, Digital Scholarship and Initiatives.",http://rightsstatements.org/vocab/InC-RUU/1.0/,1903,https://n2t.net/ark:/87292/w9x62h,2017-07-17,2023-12-13,Iowa State Parks,https://n2t.net/ark:/87292/w9dj58g4z,reformatted digital,IowaStateParks_2,IowaStateParks_2,Image,http://purl.org/dc/dcmitype/Image,still image,image/tiff,,multiple,,/objects/small/04-08-l_offcampus_0377-013-001a_sm.jpg,/objects/thumbs/04-08-l_offcampus_0377-013-001a_th.jpg,,
iowastateparks0002,iowastateparks0001,04-08-L_OffCampus_0377-013-001a.jpg,04-08-L_OffCampus_0377-013-001a,Front,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,"This item is protected by copyright and related rights. However, the rights-holder is unidentified or unlocatable. If you have information that can contribute to identifying or locating the rights-holder, please notify the Iowa State University Library, Digital Scholarship and Initiatives.",http://rightsstatements.org/vocab/InC-RUU/1.0/,,,2017-07-17,2023-12-13,Iowa State Parks,https://n2t.net/ark:/87292/w9dj58g4z,reformatted digital,IowaStateParks_0,IowaStateParks_0,,,,image/tiff,image/jpeg,image,/objects/04-08-L_OffCampus_0377-013-001a.jpg,/objects/small/04-08-l_offcampus_0377-013-001a_sm.jpg,/objects/thumbs/04-08-l_offcampus_0377-013-001a_th.jpg,,
iowastateparks0003,iowastateparks0001,04-08-L_OffCampus_0377-013-001b.jpg,04-08-L_OffCampus_0377-013-001b,Back,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,"This item is protected by copyright and related rights. However, the rights-holder is unidentified or unlocatable. If you have information that can contribute to identifying or locating the rights-holder, please notify the Iowa State University Library, Digital Scholarship and Initiatives.",http://rightsstatements.org/vocab/InC-RUU/1.0/,,,2017-07-17,2023-12-13,Iowa State Parks,https://n2t.net/ark:/87292/w9dj58g4z,reformatted digital,IowaStateParks_1,IowaStateParks_1,,,,image/tiff,image/jpeg,image,/objects/04-08-L_OffCampus_0377-013-001b.jpg,/objects/small/04-08-l_offcampus_0377-013-001b_sm.jpg,/objects/thumbs/04-08-l_offcampus_0377-013-001b_th.jpg,,
iowastateparks0004,,,,Swimming at Ledges Park,Black and white photograph showing people swimming at Ledges Park.,RS 4/8,Iowa State University. Facilities Planning and Management records,https://n2t.net/ark:/87292/w9cx82,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,eng,Swimming,http://id.worldcat.org/fast/1140328,Iowa--Boone County,http://id.worldcat.org/fast/1212206,Iowa--Ledges State Park,Ledges State Park,41.99183862,-93.87440815,,,,,1 item,"This item is protected by copyright and related rights. However, the rights-holder is unidentified or unlocatable. If you have information that can contribute to identifying or locating the rights-holder, please notify the Iowa State University Library, Digital Scholarship and Initiatives.",http://rightsstatements.org/vocab/InC-RUU/1.0/,1903,https://n2t.net/ark:/87292/w9sc9n,2017-07-17,2023-12-13,Iowa State Parks,https://n2t.net/ark:/87292/w9dj58g4z,reformatted digital,IowaStateParks_5,IowaStateParks_5,Image,http://purl.org/dc/dcmitype/Image,still image,image/tiff,,multiple,,/objects/small/04-08-l_offcampus_0377-013-002a_sm.jpg,/objects/thumbs/04-08-l_offcampus_0377-013-002a_th.jpg,,
iowastateparks0005,iowastateparks0004,04-08-L_OffCampus_0377-013-002a.jpg,04-08-L_OffCampus_0377-013-002a,Front,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,"This item is protected by copyright and related rights. However, the rights-holder is unidentified or unlocatable. If you have information that can contribute to identifying or locating the rights-holder, please notify the Iowa State University Library, Digital Scholarship and Initiatives.",http://rightsstatements.org/vocab/InC-RUU/1.0/,,,2017-07-17,2023-12-13,Iowa State Parks,https://n2t.net/ark:/87292/w9dj58g4z,reformatted digital,IowaStateParks_3,IowaStateParks_3,,,,image/tiff,image/jpeg,image,/objects/04-08-L_OffCampus_0377-013-002a.jpg,/objects/small/04-08-l_offcampus_0377-013-002a_sm.jpg,/objects/thumbs/04-08-l_offcampus_0377-013-002a_th.jpg,,
iowastateparks0006,iowastateparks0004,04-08-L_OffCampus_0377-013-002b.jpg,04-08-L_OffCampus_0377-013-002b,Back,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,"This item is protected by copyright and related rights. However, the rights-holder is unidentified or unlocatable. If you have information that can contribute to identifying or locating the rights-holder, please notify the Iowa State University Library, Digital Scholarship and Initiatives.",http://rightsstatements.org/vocab/InC-RUU/1.0/,,,2017-07-17,2023-12-13,Iowa State Parks,https://n2t.net/ark:/87292/w9dj58g4z,reformatted digital,IowaStateParks_4,IowaStateParks_4,,,,image/tiff,image/jpeg,image,/objects/04-08-L_OffCampus_0377-013-002b.jpg,/objects/small/04-08-l_offcampus_0377-013-002b_sm.jpg,/objects/thumbs/04-08-l_offcampus_0377-013-002b_th.jpg,,
iowastateparks0007,,,,Tents at Camp Cladonia at Ledges Park,"Black and white photograph showing tents at Camp Cladonia, located in Ledges Park.",RS 4/8,Iowa State University. Facilities Planning and Management records,https://n2t.net/ark:/87292/w9cx82,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,eng,Camping--Equipment and supplies;Tents,http://id.worldcat.org/fast/844930;http://id.worldcat.org/fast/1147746,Iowa--Boone County,http://id.worldcat.org/fast/1212206,Iowa--Ledges State Park,Ledges State Park,41.99183862,-93.87440815,,,,,1 item,"This item is protected by copyright and related rights. However, the rights-holder is unidentified or unlocatable. If you have information that can contribute to identifying or locating the rights-holder, please notify the Iowa State University Library, Digital Scholarship and Initiatives.",http://rightsstatements.org/vocab/InC-RUU/1.0/,1903,https://n2t.net/ark:/87292/w9np6c,2017-07-17,2023-12-13,Iowa State Parks,https://n2t.net/ark:/87292/w9dj58g4z,reformatted digital,IowaStateParks_8,IowaStateParks_8,Image,http://purl.org/dc/dcmitype/Image,still image,image/tiff,,multiple,,/objects/small/04-08-l_offcampus_0377-013-002c_sm.jpg,/objects/thumbs/04-08-l_offcampus_0377-013-002c_th.jpg,,
iowastateparks0008,iowastateparks0007,04-08-L_OffCampus_0377-013-002c.jpg,04-08-L_OffCampus_0377-013-002c,Front,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,"This item is protected by copyright and related rights. However, the rights-holder is unidentified or unlocatable. If you have information that can contribute to identifying or locating the rights-holder, please notify the Iowa State University Library, Digital Scholarship and Initiatives.",http://rightsstatements.org/vocab/InC-RUU/1.0/,,,2017-07-17,2023-12-13,Iowa State Parks,https://n2t.net/ark:/87292/w9dj58g4z,reformatted digital,IowaStateParks_6,IowaStateParks_6,,,,image/tiff,image/jpeg,image,/objects/04-08-L_OffCampus_0377-013-002c.jpg,/objects/small/04-08-l_offcampus_0377-013-002c_sm.jpg,/objects/thumbs/04-08-l_offcampus_0377-013-002c_th.jpg,,
iowastateparks0009,iowastateparks0007,04-08-L_OffCampus_0377-013-002d.jpg,04-08-L_OffCampus_0377-013-002d,Back,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,"This item is protected by copyright and related rights. However, the rights-holder is unidentified or unlocatable. If you have information that can contribute to identifying or locating the rights-holder, please notify the Iowa State University Library, Digital Scholarship and Initiatives.",http://rightsstatements.org/vocab/InC-RUU/1.0/,,,2017-07-17,2023-12-13,Iowa State Parks,https://n2t.net/ark:/87292/w9dj58g4z,reformatted digital,IowaStateParks_7,IowaStateParks_7,,,,image/tiff,image/jpeg,image,/objects/04-08-L_OffCampus_0377-013-002d.jpg,/objects/small/04-08-l_offcampus_0377-013-002d_sm.jpg,/objects/thumbs/04-08-l_offcampus_0377-013-002d_th.jpg,,
iowastateparks0010,,,,Afternoon in camp at Ledges Park,A black and white photograph of a group of people in a camp site in Ledges Park.,RS 4/8,Iowa State University. Facilities Planning and Management records,https://n2t.net/ark:/87292/w9cx82,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,eng,Tents;Camping--Equipment and supplies,http://id.worldcat.org/fast/1147746;http://id.worldcat.org/fast/844930,Iowa--Boone County,http://id.worldcat.org/fast/1212206,Iowa--Ledges State Park,Ledges State Park,41.99183862,-93.87440815,,,,,1 item,"This item is protected by copyright and related rights. However, the rights-holder is unidentified or unlocatable. If you have information that can contribute to identifying or locating the rights-holder, please notify the Iowa State University Library, Digital Scholarship and Initiatives.",http://rightsstatements.org/vocab/InC-RUU/1.0/,1903,https://n2t.net/ark:/87292/w9hw4f,2017-07-17,2023-12-13,Iowa State Parks,https://n2t.net/ark:/87292/w9dj58g4z,reformatted digital,IowaStateParks_11,IowaStateParks_11,Image,http://purl.org/dc/dcmitype/Image,still image,image/tiff,,multiple,,/objects/small/04-08-l_offcampus_0377-013-003a_sm.jpg,/objects/thumbs/04-08-l_offcampus_0377-013-003a_th.jpg,,
